ID,DepthDiving.m,DurationDiving.min,Depthzero,Mean.Max,CommonName,Binomial,Weight.kg,Lat,Lon,Family,Order,Location,Country,Type.Diving,Methods,Life stage,Chlorophyll.Concentration,Chorophyll.Concentration.SD,Surface.Temperature,Surface.Temperature.SD,Turbidity.Index,Turbidity.Index.SD,Comment,Conservation.Status,Foraging Reference,Birds of the World Reference,Weight Reference,
1,4.6,NA,1,Mean,Red-tailed Tropicbird,Phaeton rubricauda,0.8,-22.55,40.58,Phaethondidae,Phaethontiformes,Europa Island,France,Surface.Plunge,Maximum Diving Depth Recorder,Incubating,0.14,0.03946,26.5525,1.726716,0.033067,0.005532274,,LC,"Le Corre, M. (1997). Diving Depth of Two Tropical Pelecaniformes: The Red-Tailed Tropicbird and the Red-Footed Booby. The Condor, 1004–1007.","Schreiber, B. A. and R. W. Schreiber (2020). Red-tailed Tropicbird (Phaethon rubricauda), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rettro.01",,
2,12.43,NA,1,Max,Red-tailed Tropicbird,Phaeton rubricauda,0.8,-22.55,40.58,Phaethondidae,Phaethontiformes,Europa Island,France,Surface.Plunge,Maximum Diving Depth Recorder,Incubating,0.14,0.03946,26.5525,1.726716,0.033067,0.005532274,,LC,"Le Corre, M. (1997). Diving Depth of Two Tropical Pelecaniformes: The Red-Tailed Tropicbird and the Red-Footed Booby. The Condor, 1004–1007.","Schreiber, B. A. and R. W. Schreiber (2020). Red-tailed Tropicbird (Phaethon rubricauda), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rettro.01",,
3,318,7.55,1,Max,King Penguin,Aptenodytes patagonicus,11.5,-46.4,51.9,Spheniscidae,Sphenisciformes,Crozet Islands,France,Pursuit.Dive,PDT Data Logger,Breeding,0.3,0.12931,5.809,1.464251,0.0509,0.010658954,,LC,"Sato, K., Naito, Y., Kato, A., Niizuma, Y., Watanuki, Y., Charrassin, J. B., et al. (2002). Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology, 205(9), 1189–1197. http://doi.org/10.1111/j.1748-7692.1999.tb00856.x","Martínez, I., F. Jutglar, and E.F.J. Garcia (2020). King Penguin (Aptenodytes patagonicus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.kinpen1.01",,
4,65.6,NA,1,Max,Adelie Penguin,Pygoscelis adeliae,4,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,PDT Data Logger,Breeding,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,LC,"Sato, K., Naito, Y., Kato, A., Niizuma, Y., Watanuki, Y., Charrassin, J. B., et al. (2002). Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology, 205(9), 1189–1197. http://doi.org/10.1111/j.1748-7692.1999.tb00856.x","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.01",,
5,145.9,NA,1,Max,Adelie Penguin,Pygoscelis adeliae,5,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,PDT Data Logger,Breeding,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,LC,"Sato, K., Naito, Y., Kato, A., Niizuma, Y., Watanuki, Y., Charrassin, J. B., et al. (2002). Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology, 205(9), 1189–1197. http://doi.org/10.1111/j.1748-7692.1999.tb00856.x","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.02",,
6,438,16,1,Max,Emperor Penguin,Aptenodytes forsteri,46,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,Time-Depth Recorder,Multiple,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,NT,"Zimmer, I., Wilson, R. P., Beaulieu, M., Ropert-Coudert, Y., Kato, A., Ancel, A., & Plötz, J. (2010). Dive efficiency versus depth in foraging emperor penguins. Aquatic Biology, 8(3), 269–277. http://doi.org/10.3354/ab00213","Martínez, I., Christie, D.A., Jutglar, F. & Garcia, E.F.J. (2020). Emperor Penguin (Aptenodytes forsteri). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52457 on 10 May 2020).",,
7,68.83,NA,1,Mean,Emperor Penguin,Aptenodytes forsteri,46,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,Time-Depth Recorder,Multiple,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,NT,"Zimmer, I., Wilson, R. P., Beaulieu, M., Ropert-Coudert, Y., Kato, A., Ancel, A., & Plötz, J. (2010). Dive efficiency versus depth in foraging emperor penguins. Aquatic Biology, 8(3), 269–277. http://doi.org/10.3354/ab00213","Martínez, I., Christie, D.A., Jutglar, F. & Garcia, E.F.J. (2020). Emperor Penguin (Aptenodytes forsteri). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52457 on 10 May 2020).",,
8,175,NA,1,Max,Adelie Penguin,Pygoscelis adeliae,8.2,-68.69,76.01,Spheniscidae,Sphenisciformes,Prydz Bay,Antarctica,Pursuit.Dive,Capillary Depth Gauge,Rearing Chicks,1.3,1.10472,0.816667,0.744737,0.1227,0.051494598,,LC,"Whitehead, M. D. (1989). Maximum Diving Depths of the Adelie Penguin, Pygoscelis adeliae, During the Chick Rearing Period, in Prydz Bay, Antarctica. Polar Biology, (9), 329–332.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.01",,
9,125,NA,1,Mean,Adelie Penguin,Pygoscelis adeliae,8.2,-68.69,76.01,Spheniscidae,Sphenisciformes,Prydz Bay,Antarctica,Pursuit.Dive,Capillary Depth Gauge,Rearing Chicks,1.3,1.10472,0.816667,0.744737,0.1227,0.051494598,"krill, Euphausia superba and E. crystallorophias, and the pelagic schooling fish, 331 Pleuragramma antarcticum (Puddicombe and Johnstone 1988; Green and Johnstone, 1988)",LC,"Whitehead, M. D. (1989). Maximum Diving Depths of the Adelie Penguin, Pygoscelis adeliae, During the Chick Rearing Period, in Prydz Bay, Antarctica. Polar Biology, (9), 329–332.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.01",,
10,168,NA,1,Max,Northern Rockhopper Penguin,Eudyptes moseleyi,4.3,-37.83,77.51,Spheniscidae,Sphenisciformes,Amsterdam Island,France,Pursuit.Dive,Capillary Depth Gauge,Rearing Chicks,0.26,0.07934,15.61417,2.315974,0.06108,0.00765454,,EN,"Tremblay, Y., Guinard, E. and Cherel, Y. (1997). Maximum diving depths of northern rockhopper penguins (Eudyptes chrysocome moseleyi) at Amsterdam Island. Polar Biology. 17(2):119-122","del Hoyo, J., N. Collar, and E.F.J. Garcia (2020). Moseley's Rockhopper Penguin (Eudyptes moseleyi), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rocpen4.01",,
